bar_height,central_price,ewma_price,ewma_deviation,forward_mid,position_bias,forward_high_order_price,forward_low_order_price,sell_rate,buy_rate,order_size,eemr_position,eemr_aep,eemr_reference_price,eemr_pnl,forward_high_pre_aep_adj,forward_low_pre_aep_adj,forward_ask_prices,forward_ask_sizes,forward_bid_prices,forward_bid_sizes
15.60000000000582,104326.0,104328.13702363447,14.623621346059304,104328.13702363447,-0.0,104828.13702363447,103828.13702363447,0.0,0.0,0.01,0,0,104328.13702363447,0,104828.13702363447,103828.13702363447,[104828.13702363447],[np.float64(0.01)],[103828.13702363447],[np.float64(0.01)]
10.60000000000582,104315.5,104318.65925590861,11.605905336519191,104318.65925590861,-0.0,104818.65925590861,103818.65925590861,0.0,0.0,0.01,0,0,104318.65925590861,0,104818.65925590861,103818.65925590861,[104818.65925590861],[np.float64(0.01)],[103818.65925590861],[np.float64(0.01)]
19.19999999999709,104301.8,104306.01481397716,17.301476334127614,104306.01481397716,-0.0,104806.01481397716,103806.01481397716,0.0,0.0,0.01,0,0,104306.01481397716,0,104806.01481397716,103806.01481397716,[104806.01481397716],[np.float64(0.01)],[103806.01481397716],[np.float64(0.01)]
15.0,104286.9,104291.67870349428,15.575369083531903,104291.67870349428,-0.0,104791.67870349428,103791.67870349428,0.0,0.0,0.01,0,0,104291.67870349428,0,104791.67870349428,103791.67870349428,[104791.67870349428],[np.float64(0.01)],[103791.67870349428],[np.float64(0.01)]
16.39999999999418,104271.7,104276.69467587356,16.193842270878612,104276.69467587356,-0.0,104776.69467587356,103776.69467587356,0.0,0.0,0.01,0,0,104276.69467587356,0,104776.69467587356,103776.69467587356,[104776.69467587356],[np.float64(0.01)],[103776.69467587356],[np.float64(0.01)]
12.69999999999709,104259.1,104263.4986689684,13.57346056771747,104263.4986689684,-0.0,104763.4986689684,103763.4986689684,0.0,0.0,0.01,0,0,104263.4986689684,0,104763.4986689684,103763.4986689684,[104763.4986689684],[np.float64(0.01)],[103763.4986689684],[np.float64(0.01)]
17.0,104242.2,104247.52466724209,16.14336514192937,104247.52466724209,-0.0,104747.52466724209,103747.52466724209,0.0,0.0,0.01,0,0,104247.52466724209,0,104747.52466724209,103747.52466724209,[104747.52466724209],[np.float64(0.01)],[103747.52466724209],[np.float64(0.01)]
21.39999999999418,104229.2,104233.78116681051,20.085841285477976,104233.78116681051,-0.0,104733.78116681051,103733.78116681051,0.0,0.0,0.01,0,0,104233.78116681051,0,104733.78116681051,103733.78116681051,[104733.78116681051],[np.float64(0.01)],[103733.78116681051],[np.float64(0.01)]
19.19999999999709,104210.1,104216.02029170265,19.421460321367313,104216.02029170265,-0.0,104716.02029170265,103716.02029170265,0.0,0.0,0.01,0,0,104216.02029170265,0,104716.02029170265,103716.02029170265,[104716.02029170265],[np.float64(0.01)],[103716.02029170265],[np.float64(0.01)]
10.10000000000582,104200.1,104204.08007292567,12.430365080346194,104204.08007292567,-0.0,104704.08007292567,103704.08007292567,0.0,0.0,0.01,0,0,104204.08007292567,0,104704.08007292567,103704.08007292567,[104704.08007292567],[np.float64(0.01)],[103704.08007292567],[np.float64(0.01)]
10.80000000000291,104189.4,104193.0700182314,11.20759127008873,104193.0700182314,-0.0,104693.0700182314,103693.0700182314,0.0,0.0,0.01,0,0,104193.0700182314,0,104693.0700182314,103693.0700182314,[104693.0700182314],[np.float64(0.01)],[103693.0700182314],[np.float64(0.01)]
13.0,104176.5,104180.64250455785,12.551897817522182,104180.64250455785,-0.0,104680.64250455785,103680.64250455785,0.0,0.0,0.01,0,0,104180.64250455785,0,104680.64250455785,103680.64250455785,[104680.64250455785],[np.float64(0.01)],[103680.64250455785],[np.float64(0.01)]
13.69999999999709,104166.1,104169.73562613947,13.412974454378363,104169.73562613947,-0.0,104669.73562613947,103669.73562613947,0.0,0.0,0.01,0,0,104169.73562613947,0,104669.73562613947,103669.73562613947,[104669.73562613947],[np.float64(0.01)],[103669.73562613947],[np.float64(0.01)]
15.400000000008731,104151.1,104155.75890653487,14.90324361360114,104155.75890653487,-0.0,104655.75890653487,103655.75890653487,0.0,0.0,0.01,0,0,104155.75890653487,0,104655.75890653487,103655.75890653487,[104655.75890653487],[np.float64(0.01)],[103655.75890653487],[np.float64(0.01)]
