2025-05-12 13:25:24.331339 [INF] [CB_RO#trend] TrendStrength=_trendStrength,_trendStrength.Ewma,_trendStrength.DoubleEwma,_trendStrength.DoubleEwmaSlope,BuildUpInProgress,ReductionInProgress,_buildUpStepSize,_reductionStepSize,PositionMultiplier,TargetPosition,SlopeSignCount,TrendStatus
2025-05-12 13:31:21.758996 [INF] [CB_RO#trend] TrendStrength=-1,-0.0059125768608911475,-5.400482778699859E-05,-1.8695616346254472E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:26.438933 [INF] [CB_RO#trend] TrendStrength=1,-0.005409620572460757,-5.561151251040054E-05,-1.8080593542406158E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:27.408946 [INF] [CB_RO#trend] TrendStrength=1,-0.0049069157621745825,-5.706690378529963E-05,-1.7466059952458468E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:29.598585 [INF] [CB_RO#trend] TrendStrength=-1,-0.005404462304293441,-5.86711224054519E-05,-1.7152015277293647E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:30.648937 [INF] [CB_RO#trend] TrendStrength=1,-0.0049017600731413495,-6.012404909067251E-05,-1.6538219217960025E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:31.049142 [INF] [CB_RO#trend] TrendStrength=1,-0.004399309193104834,-6.14258046338766E-05,-1.5924911622671569E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:35.299051 [INF] [CB_RO#trend] TrendStrength=1,-0.003897109538508337,-6.257650975403882E-05,-1.5312092192726473E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:36.988785 [INF] [CB_RO#trend] TrendStrength=-1,-0.004395160983739028,-6.387628509623417E-05,-1.4999760629588525E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:43.538735 [INF] [CB_RO#trend] TrendStrength=-1,-0.004892963403247103,-6.532501123167929E-05,-1.4687676634887263E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:43.918957 [INF] [CB_RO#trend] TrendStrength=1,-0.004390516921545535,-6.66225688047733E-05,-1.4375840057417661E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:44.058681 [INF] [CB_RO#trend] TrendStrength=1,-0.0038883216630848172,-6.776907853305718E-05,-1.3764250746058593E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:01.668881 [INF] [CB_RO#trend] TrendStrength=1,-0.00338637750225333,-6.876466106017316E-05,-1.3153148549772622E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:03.058982 [INF] [CB_RO#trend] TrendStrength=1,-0.0028846843135022586,-6.96094369559057E-05,-1.2542533170606064E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:06.438741 [INF] [CB_RO#trend] TrendStrength=-1,-0.003383241971345453,-7.060352671622244E-05,-1.1932404310770538E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:10.528998 [INF] [CB_RO#trend] TrendStrength=-1,-0.0038815503503597253,-7.174681076331537E-05,-1.1622761672642863E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:10.818901 [INF] [CB_RO#trend] TrendStrength=-1,-0.004379609575184491,-7.303916959264158E-05,-1.1613364958764976E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:12.138758 [INF] [CB_RO#trend] TrendStrength=1,-0.0038774197703969537,-7.418048377288275E-05,-1.1603974018843936E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:13.489012 [INF] [CB_RO#trend] TrendStrength=-1,-0.0043754810605117,-7.547087394590425E-05,-1.1594588849670071E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:14.111097 [INF] [CB_RO#trend] TrendStrength=-1,-0.004873293319981389,-7.691022067971473E-05,-1.1585209448035445E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:15.728835 [INF] [CB_RO#trend] TrendStrength=1,-0.004370856673321454,-7.819840461550711E-05,-1.1575835810733812E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:17.229169 [INF] [CB_RO#trend] TrendStrength=1,-0.003868671244984849,-7.933554646761779E-05,-1.156646793456061E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:19.428985 [INF] [CB_RO#trend] TrendStrength=1,-0.0033667369093624117,-8.032176687648612E-05,-1.1557105816312957E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:20.898791 [INF] [CB_RO#trend] TrendStrength=1,-0.002865053540907786,-8.115718640869543E-05,-1.1547749452789735E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:21.249079 [INF] [CB_RO#trend] TrendStrength=1,-0.0023636210141373872,-8.184192555701396E-05,-1.1238398840791518E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:28.029248 [INF] [CB_RO#trend] TrendStrength=-1,-0.0028624392036302637,-8.267610474043584E-05,-1.0929293977120468E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:31.482132 [INF] [CB_RO#trend] TrendStrength=1,-0.0023610079840285037,-8.33596043042222E-05,-1.0320434711580613E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:33.589900 [INF] [CB_RO#trend] TrendStrength=1,-0.0018598274800365445,-8.389254466694183E-05,-9.712060894059074E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:34.078603 [INF] [CB_RO#trend] TrendStrength=-1,-0.002358897566296471,-8.457504617343061E-05,-9.104172227526362E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:34.129629 [INF] [CB_RO#trend] TrendStrength=-1,-0.0028577181175132678,-8.540698909483246E-05,-8.496768415117731E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:34.798367 [INF] [CB_RO#trend] TrendStrength=-1,-0.0033562892584544563,-8.638825377564025E-05,-8.189849160133132E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:35.318868 [INF] [CB_RO#trend] TrendStrength=-1,-0.003854611113825174,-8.751872063365499E-05,-8.183174166037196E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:36.438642 [INF] [CB_RO#trend] TrendStrength=-1,-0.004352683808268207,-8.879827015994521E-05,-8.476503283459088E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:36.859353 [INF] [CB_RO#trend] TrendStrength=1,-0.0038505074663641283,-8.992678291880634E-05,-8.769596510110916E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:37.158762 [INF] [CB_RO#trend] TrendStrength=1,-0.0033485822126310015,-9.09043795477199E-05,-9.062453990705939E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:38.638705 [INF] [CB_RO#trend] TrendStrength=-1,-0.003846907921524631,-9.203118061031285E-05,-9.355075869877012E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:39.488728 [INF] [CB_RO#trend] TrendStrength=1,-0.003344984467563924,-9.300706659639882E-05,-9.647462292176624E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:39.948711 [INF] [CB_RO#trend] TrendStrength=1,-0.002843311975330197,-9.383215806901887E-05,-9.939613402077044E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:41.558929 [INF] [CB_RO#trend] TrendStrength=-1,-0.003341890319342477,-9.480657551740081E-05,-1.0231529343970204E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:52.268613 [INF] [CB_RO#trend] TrendStrength=1,-0.002840219374182861,-9.563019935700035E-05,-1.0223210262167894E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:53.299260 [INF] [CB_RO#trend] TrendStrength=1,-0.002338799264495825,-9.630315007654194E-05,-9.91489630090169E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:53.528989 [INF] [CB_RO#trend] TrendStrength=1,-0.001837629864863632,-9.6825548090978E-05,-9.306827457323007E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:59.211656 [INF] [CB_RO#trend] TrendStrength=1,-0.0013367110499312553,-9.719751374153003E-05,-8.399243581584819E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:00.088566 [INF] [CB_RO#trend] TrendStrength=1,-0.0008360426944063449,-9.741916729572944E-05,-7.492384376923101E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:01.344033 [INF] [CB_RO#trend] TrendStrength=1,-0.0003356246730591968,-9.749062894745848E-05,-6.58624939973858E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:03.689037 [INF] [CB_RO#trend] TrendStrength=1,0.0001645431392772777,-9.741201881699106E-05,-5.380838206678213E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:04.728806 [INF] [CB_RO#trend] TrendStrength=1,0.000664460867707584,-9.718345695103371E-05,-4.176390354634896E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:05.718785 [INF] [CB_RO#trend] TrendStrength=1,0.0011641286372736752,-9.680506332276633E-05,-2.9729052537474626E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:06.218664 [INF] [CB_RO#trend] TrendStrength=1,0.0016635465729549833,-9.627695783188306E-05,-1.4703823144822484E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:07.173307 [INF] [CB_RO#trend] TrendStrength=1,0.002162714799668451,-9.559926030463304E-05,3.093905236731731E-09,False,True,1,1,0,0.00,0,Reduction
2025-05-12 13:33:07.579039 [INF] [CB_RO#trend] TrendStrength=1,0.0026616334422685617,-9.477209049386118E-05,1.5310595826807584E-07,False,False,1,1,0,0.00,1,None
2025-05-12 13:33:07.637926 [INF] [CB_RO#trend] TrendStrength=1,0.0031603026255473724,-9.379556807904891E-05,3.029980011929085E-07,True,False,1,1,1,0.01,2,BuildUp
2025-05-12 13:33:07.637949 [INF] [CB_RO#trend] TrendStrength=1,0.0036587224742345437,-9.266981266635495E-05,4.5277010751750787E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:07.782964 [INF] [CB_RO#trend] TrendStrength=1,0.004156893112997372,-9.139494378865596E-05,6.02422350707348E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:08.083494 [INF] [CB_RO#trend] TrendStrength=-1,0.0036548146664409286,-9.027108090558722E-05,7.219548041871257E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:08.873076 [INF] [CB_RO#trend] TrendStrength=1,0.004152987259107653,-8.899810340358339E-05,8.413915413407676E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:09.524544 [INF] [CB_RO#trend] TrendStrength=-1,0.003650910765478155,-8.787613074291898E-05,9.30732620811473E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:09.662965 [INF] [CB_RO#trend] TrendStrength=-1,0.0031490853100954713,-8.690504231066757E-05,9.90002101209877E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:10.312845 [INF] [CB_RO#trend] TrendStrength=1,0.0036475107674403687,-8.578471756774237E-05,1.0492240264140688E-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:10.642767 [INF] [CB_RO#trend] TrendStrength=-1,0.0031456870120567036,-8.481527604885514E-05,1.0783984255777896E-06,False,False,1,1,1,0.01,2,None
