timestamp,last_bbo_local_timestamp,bar_number,open,high,low,close,bar_numtick,last_trade_id,bar_counter,trades_volume,time_elapsed_ms,price_diff,raw_price_diff,is_price_bar,is_volume_bar,is_final_split_bar,last_sequence_id,fair_open,fair_high,fair_low,fair_close,ask_open,ask_high,ask_low,ask_close,bid_open,bid_high,bid_low,bid_close,trades_open,trades_high,trades_low,trades_close
2025-05-12 15:45:19.434062,1747050319434,5298,102568.9,102576.2,102558.1,102558.1,33,1522340639,-1,193.54,380,-10.8,null,TRUE,FALSE,FALSE,230611463075,102568.9,102576.2,102558.1,102558.1,102569,102576.3,102558.1,102558.1,102568.9,102576.2,102558,102558,102569,102576.3,102558.1,102558.1
2025-05-12 15:45:20.144243,1747050320144,5299,102558.1,102576.2,102558.1,102576.2,41,1522340679,1,64.82,710,18.1,null,TRUE,FALSE,FALSE,230611467322,102558.1,102576.2,102558.1,102576.2,102558.1,102576.3,102558.1,102576.3,102558,102576.2,102558,102576.2,102558.1,102576.3,102558,102576.3
2025-05-12 15:45:22.824025,1747050322824,5300,102576.2,102583.7,102564.1,102564.1,148,1522340782,-1,508.93,2679,-12.1,null,TRUE,FALSE,FALSE,230611483514,102576.2,102583.7,102564.1,102564.1,102576.3,102583.8,102564.1,102564.1,102576.2,102583.7,102564,102564,102576.3,102583.8,102564,102564
2025-05-12 15:45:23.554278,1747050323554,5301,102564.1,102564.1,102547.9,102547.9,47,1522340816,-2,7.71,730,-16.2,null,TRUE,FALSE,FALSE,230611488640,102564.1,102564.1,102547.9,102547.9,102564.1,102564.1,102547.9,102547.9,102564,102564,102547.8,102547.8,102564,102564,102549.6,102549.6
2025-05-12 15:45:24.343778,1747050324343,5302,102547.9,102562.4,102547.1,102562.4,59,1522340875,1,81.87,789,14.5,null,TRUE,FALSE,FALSE,230611497960,102547.9,102562.4,102547.1,102562.4,102547.9,102562.5,102547.1,102562.5,102547.8,102562.4,102547,102562.4,102549.6,102560.7,102547,102560.7
2025-05-12 15:45:24.994051,1747050324994,5303,102562.4,102578.3,102562.4,102578.3,50,1522340928,2,117.24,650,15.9,null,TRUE,FALSE,FALSE,230611503764,102562.4,102578.3,102562.4,102578.3,102562.5,102578.4,102562.5,102578.4,102562.4,102578.3,102562.4,102578.3,102560.7,102577.9,102560.7,102577.9
2025-05-12 15:45:25.614292,1747050325614,5304,102578.3,102583.7,102566.1,102566.1,50,1522340976,-1,54.33,620,-12.2,null,TRUE,FALSE,FALSE,230611512844,102578.3,102583.7,102566.1,102566.1,102578.4,102583.8,102566.1,102566.1,102578.3,102583.7,102566,102566,102577.9,102583.8,102566.6,102566.6
2025-05-12 15:45:25.796444,1747050325796,5305,102566.1,102566.1,102550.3,102550.3,17,1522341031,-2,506.79,182,-15.8,null,TRUE,FALSE,FALSE,230611515852,102566.1,102566.1,102550.3,102550.3,102566.1,102566.1,102550.3,102550.3,102566,102566,102546.7,102546.7,102566.6,102566.6,102551.3,102551.3
2025-05-12 15:45:25.934021,1747050325934,5306,102550.3,102550.3,102523.4,102523.4,14,1522341136,-3,455.29,137,-26.9,null,TRUE,FALSE,FALSE,230611522702,102550.3,102550.3,102523.4,102523.4,102550.3,102550.3,102523.4,102523.4,102546.7,102546.7,102523.3,102523.3,102551.3,102551.3,102523.3,102523.3
2025-05-12 15:45:26.654268,1747050326654,5307,102523.4,102523.4,102511.5,102511.5,56,1522341166,-4,83.66,720,-11.9,null,TRUE,FALSE,FALSE,230611528331,102523.4,102523.4,102511.5,102511.5,102523.4,102523.4,102511.5,102511.5,102523.3,102523.3,102511.4,102511.4,102523.3,102523.3,102513,102513
2025-05-12 15:45:30.105873,1747050330105,5308,102511.5,102511.5,102500.1,102500.1,207,1522341238,-5,96.1,3451,-11.4,null,TRUE,FALSE,FALSE,230611539341,102511.5,102511.5,102500.1,102500.1,102511.5,102511.5,102500.1,102500.1,102511.4,102511.4,102500,102500,102513,102513,102500.7,102500.7
2025-05-12 15:45:35.694794,1747050335694,5309,102500.1,102510.3,102495.1,102510.3,317,1522341488,1,838.89,5588,10.2,null,TRUE,FALSE,FALSE,230611563018,102500.1,102510.3,102495.1,102510.3,102500.1,102510.4,102495.1,102510.4,102500,102510.3,102495,102510.3,102500.7,102510.3,102495,102510.3
2025-05-12 15:45:38.243317,1747050338243,5310,102510.3,102524.7,102510.3,102524.7,171,1522341740,2,423.09,2548,14.4,null,TRUE,FALSE,FALSE,230611578742,102510.3,102524.7,102510.3,102524.7,102510.4,102524.8,102510.4,102524.8,102510.3,102524.7,102510.3,102524.7,102510.3,102524.9,102510.3,102524.2
2025-05-12 15:45:38.864004,1747050338864,5311,102524.7,102524.7,102512.1,102512.1,49,1522341758,-1,48.25,620,-12.6,null,TRUE,FALSE,FALSE,230611584402,102524.7,102524.7,102512.1,102512.1,102524.8,102524.8,102512.1,102512.1,102524.7,102524.7,102512,102512,102524.2,102524.8,102517.1,102517.1
2025-05-12 15:45:39.004715,1747050339004,5312,102512.1,102512.1,102501.4,102501.4,15,1522341781,-2,5.88,140,-10.7,null,TRUE,FALSE,FALSE,230611588665,102512.1,102512.1,102501.4,102501.4,102512.1,102512.1,102501.4,102501.4,102512,102512,102501.3,102501.3,102517.1,102517.1,102501.6,102501.6
2025-05-12 15:45:39.624247,1747050339624,5313,102501.4,102515.4,102501.4,102515.4,46,1522341822,1,78.49,619,14,null,TRUE,FALSE,FALSE,230611593625,102501.4,102515.4,102501.4,102515.4,102501.4,102515.5,102501.4,102515.5,102501.3,102515.4,102501.3,102515.4,102501.6,102514.2,102501.3,102514.2
2025-05-12 15:45:42.444157,1747050342444,5314,102515.4,102525.4,102512.1,102525.4,173,1522341939,2,330.49,2819,10,null,TRUE,FALSE,FALSE,230611609053,102515.4,102525.4,102512.1,102525.4,102515.5,102525.5,102512.1,102525.5,102515.4,102525.4,102512,102525.4,102514.2,102524.8,102512,102524.8
2025-05-12 15:45:42.715703,1747050342715,5315,102525.4,102538.2,102525.4,102538.2,24,1522341980,3,107.5,271,12.8,null,TRUE,FALSE,FALSE,230611613835,102525.4,102538.2,102525.4,102538.2,102525.5,102538.3,102525.5,102538.3,102525.4,102538.2,102525.4,102538.2,102524.8,102538.2,102524.8,102538.2
2025-05-12 15:45:45.874106,1747050345874,5316,102538.2,102549.6,102538.2,102549.6,155,1522342054,4,124.15,3158,11.4,null,TRUE,FALSE,FALSE,230611626323,102538.2,102549.6,102538.2,102549.6,102538.3,102549.7,102538.3,102549.7,102538.2,102549.6,102538.2,102549.6,102538.2,102548.4,102538.2,102548.4
2025-05-12 15:45:47.724788,1747050347724,5317,102549.6,102555.5,102538.9,102538.9,103,1522342119,-1,184.28,1850,-10.7,null,TRUE,FALSE,FALSE,230611638297,102549.6,102555.5,102538.9,102538.9,102549.7,102555.6,102538.9,102538.9,102549.6,102555.5,102538.8,102538.8,102548.4,102555.6,102540,102540
2025-05-12 15:45:47.864042,1747050347864,5318,102538.9,102538.9,102526.9,102526.9,14,1522342151,-2,4.03,139,-12,null,TRUE,FALSE,FALSE,230611642273,102538.9,102538.9,102526.9,102526.9,102538.9,102538.9,102526.9,102526.9,102538.8,102538.8,102526.8,102526.8,102540,102540,102526.8,102526.8
2025-05-12 15:45:49.764165,1747050349764,5319,102526.9,102538.9,102526.9,102538.9,112,1522342230,1,128.45,1900,12,null,TRUE,FALSE,FALSE,230611649342,102526.9,102538.9,102526.9,102538.9,102526.9,102539.7,102526.9,102539.7,102526.8,102538.9,102526.8,102538.9,102526.8,102544,102526.8,102544
2025-05-12 15:45:50.914975,1747050350914,5320,102538.9,102552.2,102538.9,102552.2,71,1522342278,2,103.68,1150,13.3,null,TRUE,FALSE,FALSE,230611656796,102538.9,102552.2,102538.9,102552.2,102539.7,102552.8,102539.7,102552.8,102538.9,102552.2,102538.9,102552.2,102544,102551.4,102539.7,102551.4
2025-05-12 15:45:51.603876,1747050351603,5321,102552.2,102563.9,102552.2,102563.9,29,1522342310,3,15.89,688,11.7,null,TRUE,FALSE,FALSE,230611663739,102552.2,102563.9,102552.2,102563.9,102552.8,102564,102552.8,102564,102552.2,102563.9,102552.2,102563.9,102551.4,102558.1,102551.4,102558.1
2025-05-12 15:45:51.963873,1747050351963,5322,102563.9,102575.4,102563.9,102575.4,28,1522342364,4,42.16,359,11.5,null,TRUE,FALSE,FALSE,230611667891,102563.9,102575.4,102563.9,102575.4,102564,102575.5,102564,102575.5,102563.9,102575.4,102563.9,102575.4,102558.1,102575.3,102558.1,102575.3
2025-05-12 15:45:54.024282,1747050354024,5323,102575.4,102581.8,102564.1,102564.1,135,1522342450,-1,154.66,2060,-11.3,null,TRUE,FALSE,FALSE,230611678426,102575.4,102581.8,102564.1,102564.1,102575.5,102581.9,102564.1,102564.1,102575.4,102581.8,102564,102564,102575.3,102581.9,102568.3,102568.3
