trend_strength_value,trend_strength_ewma,trend_strength_double_ewma,trend_strength_double_ewma_slope,buildup_in_progress,reduction_in_progress,buildup_step_size,reduction_step_size,position_multiplier,target_position,slope_sign_count,trend_status
1,-0.0033667369093624117,-8.032176687648612E-05,-1.1557105816312957E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.002865053540907786,-8.115718640869543E-05,-1.1547749452789735E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0023636210141373872,-8.184192555701396E-05,-1.1238398840791518E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0028624392036302637,-8.267610474043584E-05,-1.0929293977120468E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0023610079840285037,-8.33596043042222E-05,-1.0320434711580613E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0018598274800365445,-8.389254466694183E-05,-9.712060894059074E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002358897566296471,-8.457504617343061E-05,-9.104172227526362E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0028577181175132678,-8.540698909483246E-05,-8.496768415117731E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0033562892584544563,-8.638825377564025E-05,-8.189849160133132E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.003854611113825174,-8.751872063365499E-05,-8.183174166037196E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004352683808268207,-8.879827015994521E-05,-8.476503283459088E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0038505074663641283,-8.992678291880634E-05,-8.769596510110916E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0033485822126310015,-9.09043795477199E-05,-9.062453990705939E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.003846907921524631,-9.203118061031285E-05,-9.355075869877012E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.003344984467563924,-9.300706659639882E-05,-9.647462292176624E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.002843311975330197,-9.383215806901887E-05,-9.939613402077044E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.003341890319342477,-9.480657551740081E-05,-1.0231529343970204E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.002840219374182861,-9.563019935700035E-05,-1.0223210262167894E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.002338799264495825,-9.630315007654194E-05,-9.91489630090169E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.001837629864863632,-9.6825548090978E-05,-9.306827457323007E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0013367110499312553,-9.719751374153003E-05,-8.399243581584819E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0008360426944063449,-9.741916729572944E-05,-7.492384376923101E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0003356246730591968,-9.749062894745848E-05,-6.58624939973858E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,0.0001645431392772777,-9.741201881699106E-05,-5.380838206678213E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,0.000664460867707584,-9.718345695103371E-05,-4.176390354634896E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,0.0011641286372736752,-9.680506332276633E-05,-2.9729052537474626E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,0.0016635465729549833,-9.627695783188306E-05,-1.4703823144822484E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,0.002162714799668451,-9.559926030463304E-05,3.093905236731731E-09,FALSE,TRUE,1,1,0,0.00,0,Reduction
1,0.0026616334422685617,-9.477209049386118E-05,1.5310595826807584E-07,FALSE,FALSE,1,1,0,0.00,1,None
1,0.0031603026255473724,-9.379556807904891E-05,3.029980011929085E-07,TRUE,FALSE,1,1,1,0.01,2,BuildUp
1,0.0036587224742345437,-9.266981266635495E-05,4.5277010751750787E-07,FALSE,FALSE,1,1,1,0.01,2,None
1,0.004156893112997372,-9.139494378865596E-05,6.02422350707348E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0036548146664409286,-9.027108090558722E-05,7.219548041871257E-07,FALSE,FALSE,1,1,1,0.01,2,None
1,0.004152987259107653,-8.899810340358339E-05,8.413915413407676E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.003650910765478155,-8.787613074291898E-05,9.30732620811473E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0031490853100954713,-8.690504231066757E-05,9.90002101209877E-07,FALSE,FALSE,1,1,1,0.01,2,None
1,0.0036475107674403687,-8.578471756774237E-05,1.0492240264140688E-06,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0031456870120567036,-8.481527604885514E-05,1.0783984255777896E-06,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0026441141685507306,-8.399659721547536E-05,1.077549327838582E-06,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0021427921114665106,-8.332856060287085E-05,1.0467007476178063E-06,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0016417207154108327,-8.281104582006679E-05,9.858766846288155E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0011408998550531825,-8.244393254980486E-05,8.951011238851107E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.000640329405125711,-8.222710054850222E-05,8.043980357084999E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.00014000924042320323,-8.216042964621073E-05,6.837673757372663E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.00036006076419695327,-8.224379974657595E-05,5.632330996343035E-07,FALSE,FALSE,1,1,1,0.01,2,None
1,0.0001401192661850901,-8.217709082679647E-05,4.7279514838711E-07,FALSE,FALSE,1,1,1,0.01,2,None
1,0.0006400492065519425,-8.196042293758287E-05,3.824294630159499E-07,FALSE,FALSE,1,1,1,0.01,2,None
1,0.0011397291819486115,-8.159391605611706E-05,3.2213599927380815E-07,FALSE,FALSE,1,1,1,0.01,2,None
1,0.0016391593173575821,-8.1077690086093E-05,2.918907129382354E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0011383397376989585,-8.071186485775752E-05,2.6166957451133264E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0006377705678301641,-8.049632012795118E-05,2.3147256921156172E-07,FALSE,FALSE,1,1,1,0.01,2,None
1,0.0011374516825461939,-8.013093572714897E-05,2.3129968226558866E-07,FALSE,FALSE,1,1,1,0.01,2,None
1,0.0016368829567048658,-7.961583155941942E-05,2.611268989082804E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0011360645152265684,-7.925112745538367E-05,2.909302190827058E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0006354964829690102,-7.903670317225636E-05,3.2070965743195847E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.00013517873472758076,-7.897243854088641E-05,3.204652285910051E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.00036488885463972797,-7.905821346571607E-05,2.902209471866807E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.000864706410212353,-7.929390792474003E-05,2.3000081313770295E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.0013642740570071919,-7.967940196946472E-05,1.398288116628282E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.0018635919199786334,-8.021457572486741E-05,4.9728913289010735E-08,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.002362660124018589,-8.089930938935546E-05,-4.029892614042805E-08,FALSE,TRUE,1,1,0,0.00,0,Reduction
1,-0.001861478793956635,-8.143348323472558E-05,-1.3025475075766112E-07,FALSE,FALSE,1,1,0,0.00,-1,None
-1,-0.0023605480545596017,-8.211721760612297E-05,-2.501386046703551E-07,TRUE,FALSE,1,1,1,-0.01,-2,BuildUp
1,-0.0018593677805323772,-8.265039277500079E-05,-3.399265319617119E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0013584380966421663,-8.30331290861609E-05,-3.9964259139045347E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0018577588775937901,-8.356554681071313E-05,-4.593108269826713E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0023568299981549384,-8.424752614611632E-05,-5.189312680400256E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0018556515831559162,-8.477894736321921E-05,-5.485039438479181E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0013547237573643934,-8.515993080621952E-05,-5.480528836754805E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0008540463954857663,-8.539059674562337E-05,-5.176021020755956E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0013536193722879684,-8.577106537828604E-05,-4.871755988930584E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0018529425626017694,-8.630121682745303E-05,-4.86773359272745E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0023520160913204136,-8.698093128980083E-05,-4.863713683677867E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0018508400832748088,-8.751008903539628E-05,-4.859696260395492E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0013499146632332266,-8.788881040765558E-05,-4.855681321494686E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.001849239705901555,-8.84172156763037E-05,-4.851668865590571E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0023483150860485495,-8.90951850374153E-05,-4.847658891298973E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0018471409285055803,-8.962259876045569E-05,-4.843651397236478E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0023462173580412722,-9.029957718823985E-05,-5.139646382020329E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002845044249362197,-9.112600058989194E-05,-5.735403844268571E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.002343621727237571,-9.180174930788616E-05,-6.030683929600123E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0018424499163740074,-9.232694375800595E-05,-6.025726930552913E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0013415286914158755,-9.270170428230326E-05,-5.720772992502425E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0008408579270702226,-9.29261511491396E-05,-5.416062113743325E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.00034043749810674267,-9.300040455322688E-05,-5.111594145571296E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,0.0001597327206422556,-9.292458461566823E-05,-4.5073689393645356E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0003403471457180104,-9.299881138399892E-05,-3.9036263465836275E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0008401769721450964,-9.322296483222722E-05,-3.600366071771535E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0013397568836589688,-9.35969250078752E-05,-3.29734781963535E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0008390870052171944,-9.382057203193796E-05,-2.6945714420460244E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
