timestamp,last_bbo_local_timestamp,bar_number,bar_numtick,last_trade_id,bar_counter,trades_volume,time_elapsed_ms,price_diff,raw_price_diff,is_price_bar,is_volume_bar,is_final_split_bar,last_sequence_id,open,high,low,close,fair_open,fair_high,fair_low,fair_close,ask_open,ask_high,ask_low,ask_close,bid_open,bid_high,bid_low,bid_close,trades_open,trades_high,trades_low,trades_close
2025-05-12 14:27:03.442835,1747045623442,972,5,1521961879,-7,856.28,50,-20.0,-24.05,True,False,True,230582441461,103292.55,103292.55,103272.55,103272.55,103292.55,103292.55,103268.5,103268.5,103289.1,103289.1,103268.5,103268.5,103289.0,103289.0,103268.2,103268.2,103292.0,103293.0,103269.9,103272.7
2025-05-12 14:27:03.493286,1747045623493,973,6,1521962465,-8,1407.12,50,-20.0,-20.45,True,False,True,230582444994,103272.55,103272.55,103252.55,103252.55,103272.55,103272.55,103252.1,103252.1,103268.5,103268.5,103252.1,103252.1,103268.2,103268.2,103250.0,103250.0,103272.7,103276.2,103250.0,103250.0
2025-05-12 14:27:03.550084,1747045623550,974,7,1521963432,-9,4252.3,56,-20.0,-22.05,True,False,True,230582450897,103252.55,103252.55,103232.55,103232.55,103252.55,103252.55,103226.0,103230.5,103252.1,103252.1,103226.0,103230.5,103250.0,103250.0,103216.5,103221.3,103250.0,103252.1,103216.5,103231.6
2025-05-12 14:27:03.672526,1747045623672,975,14,1521964623,-10,6429.87,122,-20.0,-32.45,True,False,True,230582459750,103232.55,103233.3,103212.55,103212.55,103232.55,103233.3,103200.1,103200.1,103230.5,103234.2,103200.1,103200.1,103221.3,103233.3,103200.0,103200.0,103231.6,103234.9,103200.0,103200.0
2025-05-12 14:27:04.652631,1747045624652,976,99,1521965766,1,8057.5,980,20.0,21.25,True,False,True,230582485133,103212.55,103232.55,103195.5,103232.55,103212.55,103233.8,103195.5,103233.8,103200.1,103233.9,103195.5,103233.9,103200.0,103233.8,103195.4,103233.8,103200.0,103233.4,103195.4,103233.4
2025-05-12 14:27:05.522757,1747045625522,977,88,1521966156,2,3520.89,870,20.0,24.45,True,False,True,230582499597,103232.55,103252.55,103228.9,103252.55,103232.55,103257.0,103228.9,103257.0,103233.9,103257.1,103228.9,103257.1,103233.8,103257.0,103228.8,103257.0,103233.4,103250.0,103228.9,103250.0
2025-05-12 14:27:05.602638,1747045625602,978,9,1521966260,3,219.6,79,20.0,22.95,True,False,True,230582502484,103252.55,103272.55,103252.55,103272.55,103252.55,103275.5,103252.55,103275.5,103257.1,103275.6,103257.1,103275.6,103257.0,103275.5,103257.0,103275.5,103250.0,103277.9,103250.0,103275.5
2025-05-12 14:27:05.802776,1747045625802,979,21,1521966408,4,830.74,200,20.0,22.85,True,False,True,230582509237,103272.55,103292.55,103272.55,103292.55,103272.55,103295.4,103272.55,103295.4,103275.6,103295.9,103275.6,103295.9,103275.5,103295.4,103275.5,103295.4,103275.5,103295.4,103275.5,103295.4
2025-05-12 14:27:06.362284,1747045626362,980,57,1521966621,-1,1027.72,559,-20.0,-22.15,True,False,True,230582519981,103292.55,103298.0,103272.55,103272.55,103292.55,103298.0,103270.4,103270.4,103295.9,103298.1,103270.4,103270.4,103295.4,103298.0,103265.6,103269.9,103295.4,103298.1,103265.6,103269.9
2025-05-12 14:27:07.183929,1747045627183,981,79,1521967088,1,4316.35,821,20.0,22.25,True,False,True,230582532894,103272.55,103292.55,103270.4,103292.55,103272.55,103294.8,103270.4,103294.8,103270.4,103295.0,103270.4,103295.0,103269.9,103294.8,103269.9,103294.8,103269.9,103316.8,103269.9,103296.0
