timestamp,last_bbo_local_timestamp,bar_number,open,high,low,close,bar_numtick,last_trade_id,bar_counter,trades_volume,time_elapsed_ms,price_diff,raw_price_diff,is_price_bar,is_volume_bar,is_final_split_bar,last_sequence_id,fair_open,fair_high,fair_low,fair_close,ask_open,ask_high,ask_low,ask_close,bid_open,bid_high,bid_low,bid_close,trades_open,trades_high,trades_low,trades_close
2025-05-12 15:46:13.534206,1747050373534,2365,,,,,250,1522343663,-1,998.13,3528,-20.0,-20.35,True,False,True,230611783886,,,,,,,,,,,,,,,,
2025-05-12 15:46:18.993484,1747050378993,2366,,,,,294,1522343888,1,632.53,5459,20.0,22.75,True,False,True,230611815049,,,,,,,,,,,,,,,,
2025-05-12 15:46:21.414366,1747050381414,2367,,,,,150,1522344017,-1,172.1,2420,-20.0,-22.75,True,False,True,230611832187,,,,,,,,,,,,,,,,
2025-05-12 15:46:32.227993,1747050392227,2368,,,,,552,1522344395,-2,1021.12,10813,-20.0,-24.45,True,False,True,230611872843,,,,,,,,,,,,,,,,
2025-05-12 15:46:38.344162,1747050398344,2369,,,,,347,1522344662,1,541.19,6116,20.0,23.45,True,False,True,230611910739,,,,,,,,,,,,,,,,
2025-05-12 15:46:43.123809,1747050403123,2370,,,,,242,1522344799,-1,246.92,4779,-20.0,-20.75,True,False,True,230611932043,,,,,,,,,,,,,,,,
2025-05-12 15:46:54.504081,1747050414504,2371,,,,,646,1522345127,1,1244.06,11380,20.0,24.25,True,False,True,230611976001,,,,,,,,,,,,,,,,
2025-05-12 15:46:59.264661,1747050419264,2372,,,,,237,1522345253,-1,139.67,4760,-20.0,-21.75,True,False,True,230612001071,,,,,,,,,,,,,,,,
2025-05-12 15:47:01.705486,1747050421705,2373,,,,,140,1522345371,1,165.43,2440,20.0,22.25,True,False,True,230612017512,,,,,,,,,,,,,,,,
2025-05-12 15:47:03.174335,1747050423174,2374,,,,,89,1522345520,-1,960.27,1468,-20.0,-22.95,True,False,True,230612029405,,,,,,,,,,,,,,,,
2025-05-12 15:47:03.505304,1747050423505,2375,,,,,33,1522345582,-2,83.39,330,-20.0,-22.45,True,False,True,230612038745,,,,,,,,,,,,,,,,
